Status,요구사항 ID,요구사항명,기능 ID,기능명,상세 기능,필수 데이터,선택 데이터,순위,진행상황,마감일,담당자
시작 전,MEM_00,로그인,MEM_001,자체 로그인 기능,이메일과 비밀번호 입력해 로그인을 할 수 있다.,"비밀번호, 이메일 ",,0순위,예정,,
진행 중,MEM_00,로그인,MEM_002,카카오 연동 로그인,카카오 API를 이용하여 백엔드 DB와 매칭 후 로그인을 진행한다.,"닉네임, 이메일",프로필,1순위,예정,,
시작 전,MEM_00,로그인,MEM_003,아이디 찾기,이름과 등록된 전화번호를 이용해 인증한다.,"이름, 전화번호",,0순위,예정,,
시작 전,MEM_00,로그인,MEM_004,비밀번호 재설정,"비밀번호를 임시 비밀번호로 재설정 해주고, 인증된 이메일로 전송한다.",이메일,,0순위,예정,,
시작 전,MEM_00,로그인,MEM_005,이메일 저장(로그인 시),다음 로그인시 이메일이 미리 입력되어 있어야 한다.,쿠키 데이터,,1순위,예정,,
시작 전,MEM_00,로그인,MEM_006,로봇방지,reCAPTCHA를 통해 로그인 대상이 봇이 아님을 검증한다.,,,4순위,예정,,
시작 전,MEM_01,회원가입,MEM_011,개인 회원가입,"- 닉네임은 중복되지 않아야 한다.
- 비밀번호는 (영문, 숫자, 특수문자 (!@#$%^&*+=-)를 모두 조합한 8자 이상) 조건을 만족해야 한다.
- 이메일은 중복되지 않아야 한다.
- 전화번호는 중복되지 않아야 한다.","비밀번호, 이메일 , 이름, 닉네임, 전화번호",,0순위,예정,,
시작 전,MEM_01,회원가입,MEM_012,단체 회원가입,"- 단체는 VMS에 등록된 단체여야 가입이 가능하다.
- 단체는 위촉번호 중복을 허용하지 않는다.","비밀번호, 이메일 , VMS 단체 정보(이름), VMS 위촉 정보(위촉 번호)",,0순위,예정,,
시작 전,MEM_01,회원가입,MEM_013,카카오 연동해 시작하기 (개인),"- 카카오 API를 이용하여 백엔드 DB와 매칭 후 회원가입을 진행한다.
- 프로필 사진, 닉네임(카카오톡 이름), 이메일, 전화번호","카카오 아이디(이메일), 비밀번호",,1순위,예정,,
시작 전,MEM_02,로그아웃,MEM_021,로그아웃,스토리지에 저장된 토큰을 지워 로그아웃 처리를 한다.,,,0순위,예정,,
시작 전,MEM_03,회원정보 수정,MEM_031,회원정보 수정,"- 비밀번호, 전화번호 변경만 가능하다.
- 전화번호 변경 시 재인증이 필요하다.",기존 비밀번호,,0순위,예정,,
시작 전,MEM_04,프로필 수정,MEM_041,프로필 수정,"닉네임, 프로필 사진을 변경할 수 있다.",,,0순위,예정,,
시작 전,MEM_05,"개인, 프로필 정보",MEM_051,개인 프로필,"- 본인 프로필 정보를 확인할 수 있어야 한다.
- 필수 데이터 칼럼에 적힌 데이터들은 자신과 상대방 모두 공통적으로 보이는 사항이다.
- 선택 데이터 칼럼에 적힌 데이터들은 자신에게만 보이는 사항이다.","# : 공개 여부 선택
닉네임, 
획득한 뱃지,
프로필 사진, 
펀딩 참여 목록#, 
기부 참여 목록#, 
찜한 펀딩 목록#, 
팔로우한 단체 목록#","(자신에게만 보여지는 )
충전된 코인 ,
결제 내역,
코인 사용 내역,
프로필 수정",0순위,예정,,
시작 전,MEM_05,"단체, 프로필 정보",MEM_052,단체 프로필,"- 개인이 단체를 팔로우/언팔로우 할 수 있다.
- 팔로워 수가 표시되어야 한다.
- 단체의 전체 펀딩 목록과 개수를 보여줘야 한다.
- 개별 펀딩들의 상태를 보여줘야 한다.
- 단체 평점(형태 미정)이 표시되어야 한다.
- 단체의 펀딩누적금액이 표시되어야 한다.","단체명, 
프로필 사진,
전체 펀딩 목록,
팔로워 수,
평점,
펀딩누적금액,
단체 소개 ( 멘트, 전화번호 ) ",단체 프로필 수정,0순위,예정,,
시작 전,CUS_00,고객센터,CUS_001,FAQ,"- 자주 물어보는 질문을 정리하여 보여준다.
- 개인과 단체의 FAQ를 따로 구분해서 보여줘야 한다.",,,1순위,예정,,
시작 전,CUS_00,고객센터,CUS_002,공지사항,"- 개인은 관리자가 작성한 공지사항을 볼 수 있어야 한다. ",,,1순위,예정,,
시작 전,CUS_00,고객센터,CUS_003,"1:1 문의 (개인, 단체 ↔ 서비스)",- 개인 및 단체는 서비스에 1:1로 문의를 할 수 있어야 한다.,"제목, 내용",,0순위,예정,,
시작 전,ADM_00,관리자,ADM_001,개인회원 목록 조회,- 서비스에 가입된 회원들의 계정 목록을 볼 수 있어야 한다.,"회원 정보
(이름, 이메일, 전화번호, 닉네임, 잔고)",,0순위,예정,,
시작 전,ADM_00,관리자,ADM_002,단체관리,- 서비스에 가입된 단체들의 계정 목록 조회할 수 있어야 한다.,"단체 정보
(단체명, 이메일, 전화번호, 위촉번호)",,0순위,예정,,
시작 전,ADM_00,관리자,ADM_003,펀딩관리,"- 관리자는 단체에서 제출한 펀딩 신청 양식을 확인하고 승인을 할 수 있어야 한다.
- [ 신청, 승인 대기, 오픈 예정, 진행 중, 펀딩 성공, 봉사 완료 ] 상태의 펀딩 게시글의 상태를 변경할 수 있어야 한다.
- 최소 금액 달성한 펀딩에 대해 봉사활동 후에 라이브 및 보고서 자료를 통해 봉사 결과를 확인할 수 있어야 한다.
- 단체가 수행한 봉사활동 보고서 (활동 사진, 영수증)를 확인할 수 있어야 한다.","펀딩 신청 양식
(시작일, 종료일, 실적 인증, 활동 계획서)

봉사 완료 보고 양식",VMS 인증 - 실적인증기간 만료 시,0순위,예정,,
시작 전,ADM_00,관리자,ADM_004,단체인증관리,"- 단체는 VMS에 가입된 상태가 유지되어야 한다. (API를 통해 확인)
- 제출된 단체 인증 서류를 관리자 페이지에서 확인할 수 있어야 한다.
- 단체 인증 서류를 확인 후 단체를 승인할 수 있어야 한다.","VMS 단체 정보, 단체 인증 서류",,0순위,예정,,
시작 전,ADM_00,관리자,ADM_005,공지사항 관리,"- 관리자만 공지사항을 작성할 수 있어야 한다.
- 관리자만 공지사항을 수정, 삭제 할 수 있어야 한다.
- 공지사항에는 댓글을 달 수 없다","파일첨부  (한글, 엑셀, 워드, PDF)",,1순위,예정,,
시작 전,ADM_00,관리자,ADM_006,FAQ 작성,"- FAQ 리스트를 만들어 고객과 단체에게 제공해줘야 한다.
- 고객의 입장과 단체의 입장에서 질문 리스트를 구분해서 작성해야 한다.",예상 질문 리스트,,1순위,예정,,
시작 전,ADM_00,관리자,ADM_007,LIVE 관리,"- 현재 진행중인 LIVE 방송 목록들을 확인할 수 있어야 한다.
- 진행중인 LIVE 방송을 강제로 종료할 수 있어야 한다.
- 진행중인 LIVE 방송의 채팅을 관리할 수 있어야 한다.","- 진행중인 라이브 목록
- 라이브에 참여중인 개인 목록",,1순위,예정,,
시작 전,ADM_00,관리자,ADM_008,자체 모금 개설,"- 자체 모금 항목을 개설할 수 있다.
- 기부 항목과 목표 금액, 기부 대상을 설정할 수 있다.
- 자체 모금은 하나만 활성화 될 수 있다.","모금 종목명, 상세 설명 페이지 파일,  설정할 목표 금액",,1순위,예정,,
시작 전,FND_00,펀딩생성,FND_001,펀딩 양식 작성,"- 단체 조건에 충족하지 않으면 인증 페이지로 이동시킨다.
- 단체 조건에 충족하는 경우 바로 펀딩양식 작성페이지로 이동한다.","• 시작일
• 종료일
• 범위별 금액 설정 (최초 달성 기준, 최대 목표 금액)
• 펀딩 상세 내용
• 펀딩 금액 사용 계획","[ 기간이 만료된 경우 ]
VMS api 데이터
실적 인증 서류",0순위,예정,,
시작 전,FND_00,펀딩생성,FND_002,,"- 펀딩 최소 단계 실패 시 모금된 금액은 펀딩 참여자들에게 자동으로 100% 환불된다.
- 취소 사유는 알림으로 후원에 참여한 개인에게 안내한다.
- 단체에서 중도 펀딩 포기 희망 시 1:1 문의를 통하여 요청한다.","- 후원에 참여한 개인 목록
- 안내할 메시지",,0순위,예정,,
시작 전,FND_01,펀딩리스트,FND_011,펀딩 리스트,"-인기순(조회수+댓글수), 최신순, 마감 임박순, 금액순으로 선택해서 정렬 가능하다. ","- 조회수, 생성날짜, 마감날짜, 펀딩금액",,0순위,예정,,
시작 전,FND_02,펀딩상세,FND_021,"펀딩 상세 설명 ","- 선택한 펀딩에 대한 상세한 정보 표시가 가능해야함.
-  펀딩 정보는 등록측에서 게재한 정보(필수 데이터)를 표시한다.","시작일, 
종료일, 
단계별 펀딩 금액, 
펀딩 내용, 
펀딩 제목, 
펀딩 등록 단체, 
조회수",,0순위,예정,,
시작 전,FND_02,펀딩상세,FND_022,펀딩 참여,"- 개인 회원이 펀딩에 참여할 수 있다.
- 펀딩에 참여시 충전된 마일리지에서 차감된다.
- 개인은 단체가 지정한 최소 금액 이상으로 펀딩을 해야한다.","마일리지 금액, 결제 금액",,0순위,예정,,
시작 전,FND_02,펀딩상세,FND_023,펀딩 성공 보고,"상세 페이지에 표시 후, 펀딩 참여자들에게 알림으로 안내한다.",성공 펀딩 정보,,0순위,예정,,
시작 전,FND_02,펀딩상세,FND_024,펀딩 게시글 응원,- 해당 펀딩에 대해 응원 댓글을 작성할 수 있는 페이지가 있어야 한다.,"댓글, 작성자 정보 ( 프로필, 닉네임 ), 작성 날짜",,1순위,예정,,
시작 전,FND_02,펀딩상세,FND_025,펀딩 찜하기,- 펀딩 찜한 다음 나의 찜 목록에서 찜한 펀딩 리스트 확인 가능하다,"찜 수, 찜한 유저",,1순위,예정,,
시작 전,FND_02,펀딩상세,FND_026,펀딩 단체 설명,펀딩 주최 단체에 대한 정보를 기재한다.,"[ 설명 요약 카드 ] 
대표 사진, 
단체명,
요약 설명, 
이메일 
연락처",,0순위,예정,,
시작 전,FND_02,펀딩상세,FND_027,펀딩 관리(펀딩 개설 단체),"- 진행 중인 펀딩에 대해 기간을 수정할 수 있는 기능이 있어야 한다. 
- 단, 단체의 신청이 들어온 경우 최초 1회에 한해서 기간 연장이 가능하다. 
(기간의 경우 최대 : 2주까지 가능하다. 
펀딩이 끝나는 시점은 최소 활동 시작 1주일 전이여야 한다.)",펀딩 기간,,0순위,예정,,
시작 전,LIV_00,라이브,LIV_001,라이브리스트,진행중인 라이브를 접속자 순으로 정렬하고 리스트로 표시,"진행중인 라이브 리스트, 등록일자, 단체",,0순위,예정,,
시작 전,LIV_00,라이브,LIV_002,라이브생성,펀딩 최소 금액 달성에 성공한 단체가 봉사 활동 시 라이브 생성한다.,"펀딩 제목, 단체명",,0순위,예정,,
시작 전,LIV_00,라이브,LIV_003,라이브참여,개인 유저들이 봉사 활동 라이브에 참여하여 활동 내용을 실시간으로 확인한다.,,,0순위,예정,,
시작 전,LIV_00,라이브,LIV_004,도네이션,"- 라이브에서 활동 중인 봉사 단체의 저금통에 금액을 후원할 수 있다
- 도네이션은 마일리지를 이용해서 해야한다.","개인 유저의 마일리지 잔액, 결제 금액",,1순위,예정,,
시작 전,LIV_00,라이브,LIV_005,채팅,유저들이 라이브 중 실시간으로 채팅 가능하다.,"채팅 텍스트 내용, 채팅 유저",,1순위,예정,,
시작 전,LIV_00,라이브,LIV_006,실시간 접속자 수,실시간으로 접속자 수를 나타낸다.,라이브 접속 인원,,1순위,예정,,
시작 전,LIV_00,라이브,LIV_007,라이브 종료,라이브 방송을 종료한다.,라이브 종료 여부,,0순위,예정,,
시작 전,EVT_00,자체모금,EVT_001,"전체 기부 리스트 ",현재 진행중인 기부와 이전에 진행했던 전체 기부 정보를 확인할 수 있다.,기부 리스트,,1순위,예정,,
시작 전,EVT_00,자체모금,EVT_002,기부 정보 상세보기,"해당 기부 행사에 대해 상세보기, 
기부가 전달되는 곳과 모인 총 금액, 품목들이 나타남.","선택한 기부 행사명, 
모금 목표액,
기부 품목 정보,
기부처 정보"," ",1순위,예정,,
시작 전,EVT_00,자체모금,EVT_003,기부 참여,"해당 기부 행사에 참여할 수 있음, 이미 참여되었어도 기부는 중복참여가 가능하다.",개인의 잔여 마일리지 수치,,1순위,예정,,
시작 전,SRH_00,검색,SRH_001,검색 기능,"- 검색창을 통해 검색어를 입력해 검색할 수 있어야 한다.
- 단체명으로 검색을 할 수 있어야 한다.
- 펀딩이름(펀딩, 라이브)으로 검색을 할 수 있어야 한다.","검색어,
단체 리스트,
라이브 리스트,
펀딩 리스트",,0순위,예정,,
시작 전,COM_00,서비스 개요,COM_001,서비스 소개,서비스 과정과 가치관을 소개한다.,"서비스에 대한 소개글, 사진",,2순위,예정,,
시작 전,COM_00,서비스 개요,COM_002,팀 소개,"서비스 운영 팀을 소개한다. ","운영 팀 소개글, 조직도",,2순위,예정,,
시작 전,ADD_00,부가기능,ADD_001,결제 기능,펀딩 및 도네이션을 할 경우 마일리지 차감이 된다.,개개인의 마일리지 잔액,,0순위,예정,,
시작 전,ADD_00,부가기능,ADD_002,충전 기능,"마일리지 충전을 할 수 있다.
- 결제수단 (카카오페이, 카드결제, 무통장입금)
 
마일리지 충전 단위
- { 5000, 10000, 20000, 30000, 50000, 100000 }","카카오페이 api, 아임포트 api, 계좌번호",,0순위,예정,,
시작 전,ADD_00,부가기능,ADD_003,뱃지 기능,유저 펀딩 달성도에 따라 뱃지 부여한다.,"뱃지 정보, 목표 달성 여부, 활성화 여부",,2순위,예정,,
시작 전,ADD_00,부가기능,ADD_004,커뮤니티,유저 간 자유게시판을 볼 수 있다.,"자유게시판 제목, 텍스트 내용, 첨부파일, 등록자, 등록일, 조회수, 게시물ID",,2순위,예정,,
시작 전,ADD_00,부가기능,ADD_005,알림 기능,"- 단체가 펀딩을 개설했을 경우 팔로우한 유저들에게 알림이 도착한다.
- 펀딩에 성공했거나 실패했을 경우 후원한 유저들에게 알림이 전송된다.
- 펀딩의 라이브가 시작되었을 때 해당 펀딩에 후원한 유저들에게 알림이 전송된다.","단체에 팔로우한 유저 리스트, 
후원한 펀딩의 성공 실패 여부, 
펀딩에 후원한 유저 리스트, 
펀딩한 단체의 라이브 여부",,0순위,예정,,
시작 전,MNP_00,MainPage,MNP_001,서비스의 소개 대문,웹 서비스의 대략적인 소개 문구와 사진을 표시,"소개 문구, 대표 사진",,2순위,예정,,
시작 전,MNP_00,MainPage,MNP_002,진행중인 펀딩 리스트,"진행중인 펀딩을 최신 순으로 일정 개수를 캐러셀로 표시, 전체보기와 같이 표시","진행중인 펀딩 리스트, 등록일자,단체",,0순위,예정,,
시작 전,MNP_00,MainPage,MNP_003,진행중인 모금 설명,"현재 진행중인 기부 모금에 대한 소개 문구와 사진, 진행막대를 표시","현재 활성화된 기부 모금 소개 문구, 사진, 총 모금 금액, 목표 모금 금액",,2순위,예정,,
시작 전,MNP_00,MainPage,MNP_004,진행중인 라이브 리스트,진행중인 라이브를 접속자 순으로 정렬하고 리스트로 표시,"라이브 전체 리스트, 각 라이브 접속자 수,단체",,0순위,예정,,